age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
49,retired,married,basic.4y,no,unknown,yes,telephone,oct,fri,435,11,19,1,nonexistent,1.1,92.949,-48.3,4.849,4963,no
30,services,married,basic.4y,no,no,no,telephone,jun,tue,452,10,999,0,nonexistent,1.1,92.949,-32.8,4.503,4963,no
85,technician,single,high.school,no,yes,unknown,cellular,nov,thu,495,25,999,0,nonexistent,-0.1,93.338,-46.1,1.908,4963,no
31,unknown,married,university.degree,no,yes,no,cellular,jul,wed,9,6,999,5,nonexistent,1.1,94.085,-40.3,2.906,5228,no
28,services,married,unknown,no,yes,no,cellular,feb,fri,1258,7,16,2,nonexistent,1.1,92.479,-39.4,2.74,5099,no
73,technician,divorced,high.school,no,unknown,no,cellular,oct,tue,174,27,999,2,nonexistent,-0.1,92.765,-40.3,1.013,4963,no
84,technician,single,university.degree,no,unknown,no,telephone,dec,mon,515,27,999,2,nonexistent,1.4,94.885,-41.9,2.951,5176,yes
46,unemployed,divorced,unknown,no,unknown,no,telephone,mar,fri,588,15,999,0,nonexistent,1.4,94.631,-31.6,1.125,5099,no
26,management,divorced,basic.4y,unknown,yes,no,telephone,nov,fri,180,20,999,4,nonexistent,-1.8,92.637,-30.3,2.527,5099,no
84,technician,married,unknown,no,yes,no,telephone,aug,mon,13,19,999,2,nonexistent,1.4,93.719,-41.9,1.014,5191,no
42,services,single,unknown,no,no,no,cellular,jul,mon,227,3,999,5,nonexistent,-1.8,92.611,-38.4,3.204,4963,no
59,management,married,university.degree,unknown,no,no,cellular,dec,thu,101,21,999,2,nonexistent,-1.8,93.65,-39.9,0.844,5099,no
26,management,single,unknown,unknown,no,no,telephone,jan,thu,57,27,999,3,nonexistent,-1.8,93.097,-35.8,3.376,5176,no
57,technician,married,basic.4y,no,no,no,telephone,apr,thu,50,14,999,5,success,1.4,93.087,-46.4,3.721,5228,no
42,retired,divorced,high.school,no,yes,no,cellular,may,fri,204,22,999,0,nonexistent,-0.1,93.905,-30.7,3.125,5228,no
22,retired,single,high.school,no,unknown,no,cellular,mar,fri,27,2,999,0,nonexistent,-0.1,92.756,-30.9,2.682,5099,yes
28,student,single,university.degree,no,unknown,no,cellular,apr,fri,430,23,999,2,failure,1.4,93.213,-35.8,0.896,5228,no
76,management,married,basic.4y,no,unknown,no,telephone,oct,thu,64,16,3,3,nonexistent,-1.8,94.776,-32.1,0.68,5191,no
55,technician,married,basic.4y,no,unknown,no,cellular,oct,tue,199,23,999,3,nonexistent,1.1,94.266,-26.3,2.126,5228,no
22,unemployed,single,unknown,no,no,no,telephone,oct,fri,33,17,999,1,nonexistent,-0.1,93.15,-27.9,4.0,5228,no
65,retired,married,university.degree,no,yes,no,cellular,jul,fri,490,15,999,1,nonexistent,1.1,92.691,-35.3,3.459,5228,no
35,unemployed,single,basic.4y,no,unknown,no,telephone,aug,fri,294,29,999,2,nonexistent,1.1,93.977,-37.7,1.177,5176,no
87,technician,married,basic.4y,no,yes,no,cellular,dec,thu,57,13,999,5,nonexistent,1.1,94.423,-37.2,3.636,5191,no
54,technician,single,basic.4y,no,no,no,cellular,sep,wed,314,29,999,0,nonexistent,1.4,94.582,-38.8,3.142,5191,no
77,unknown,married,high.school,no,no,no,cellular,feb,thu,21,29,999,5,nonexistent,-1.8,93.693,-38.5,1.359,5228,no
65,management,single,high.school,no,unknown,no,cellular,apr,wed,369,12,999,3,failure,1.4,93.55,-32.4,3.931,5099,no
45,unknown,single,high.school,no,unknown,no,telephone,jan,thu,168,7,999,3,nonexistent,-1.8,94.159,-26.2,4.258,5176,no
86,unemployed,married,unknown,no,no,yes,telephone,mar,tue,32,29,999,3,nonexistent,-1.8,92.527,-48.9,1.646,5099,no
57,unknown,married,unknown,no,no,no,cellular,aug,tue,199,20,999,0,nonexistent,1.1,94.556,-44.5,3.409,4963,yes
62,student,married,unknown,no,yes,no,cellular,jul,fri,56,20,999,6,nonexistent,1.1,92.222,-45.0,2.282,5176,no
79,management,married,basic.4y,unknown,no,no,cellular,aug,thu,279,3,999,1,nonexistent,-0.1,93.809,-30.0,0.885,5228,no
75,admin.,married,high.school,unknown,yes,no,telephone,nov,wed,308,9,999,6,nonexistent,1.4,93.769,-39.9,4.394,5176,no
84,unknown,single,basic.4y,no,no,yes,cellular,jun,wed,357,3,999,2,nonexistent,-0.1,92.932,-37.4,4.217,5176,no
73,unemployed,married,basic.4y,unknown,yes,no,telephone,may,tue,563,16,999,1,nonexistent,-1.8,92.106,-38.7,2.019,5099,no
57,retired,married,university.degree,no,no,no,cellular,dec,fri,266,20,999,3,success,1.4,94.154,-29.5,2.953,4963,no
57,retired,married,basic.4y,no,no,yes,cellular,dec,wed,169,3,999,5,nonexistent,1.4,92.073,-38.0,2.869,5176,no
50,retired,married,unknown,unknown,yes,unknown,cellular,oct,thu,481,8,11,5,nonexistent,-0.1,92.539,-34.0,1.405,4963,yes
23,services,married,high.school,no,yes,no,cellular,sep,fri,575,8,999,3,nonexistent,1.4,93.633,-49.5,1.267,4963,no
36,technician,divorced,high.school,no,unknown,no,cellular,may,thu,380,26,999,0,nonexistent,1.1,94.82,-34.3,4.319,5099,no
57,management,single,basic.4y,no,unknown,yes,cellular,sep,thu,713,24,999,6,nonexistent,1.1,92.198,-44.2,4.42,5099,no
76,retired,married,unknown,no,no,no,cellular,apr,tue,971,15,999,0,nonexistent,1.1,93.736,-29.2,3.799,5228,no
76,admin.,married,unknown,no,no,yes,telephone,dec,thu,72,5,999,6,failure,-1.8,92.987,-32.0,0.948,5228,no
65,retired,single,unknown,no,yes,yes,cellular,may,mon,50,13,999,6,nonexistent,-0.1,94.008,-47.4,4.603,5176,no
58,student,married,high.school,no,no,unknown,cellular,jan,fri,148,15,999,0,nonexistent,1.1,94.859,-47.5,4.916,5228,no
30,technician,married,unknown,no,unknown,no,telephone,jun,mon,1446,7,999,2,nonexistent,-1.8,92.806,-43.0,4.019,5099,no
62,unemployed,married,unknown,no,yes,no,telephone,mar,thu,23,12,999,4,nonexistent,-1.8,94.868,-47.0,2.174,5228,no
70,technician,married,basic.4y,unknown,no,yes,cellular,nov,thu,311,3,999,5,nonexistent,-0.1,94.612,-32.2,2.403,5228,no
59,unknown,divorced,university.degree,yes,yes,unknown,telephone,oct,tue,475,8,999,6,success,1.1,93.821,-26.3,4.43,5228,no
80,unemployed,single,unknown,no,unknown,no,telephone,feb,tue,1410,10,999,4,nonexistent,1.4,94.275,-34.3,1.854,4963,no
44,unemployed,married,basic.4y,no,unknown,no,telephone,jun,tue,241,2,999,5,nonexistent,-1.8,94.595,-44.0,1.25,5228,no
55,unknown,married,basic.4y,unknown,unknown,yes,cellular,jan,tue,119,8,999,6,nonexistent,1.4,94.41,-36.5,4.226,5099,no
77,management,single,unknown,no,no,no,telephone,dec,wed,45,22,999,6,nonexistent,-1.8,92.98,-30.7,1.475,4963,no
24,unknown,single,university.degree,no,no,unknown,cellular,sep,tue,1001,18,999,6,nonexistent,1.1,94.438,-26.9,4.595,5228,no
22,services,single,high.school,no,no,no,cellular,may,thu,644,12,999,2,nonexistent,-1.8,92.941,-49.9,3.233,5228,no
62,unemployed,single,university.degree,unknown,no,no,cellular,jul,thu,408,22,999,5,nonexistent,-1.8,94.601,-37.4,3.057,5099,no
75,unemployed,married,unknown,no,no,no,cellular,nov,fri,719,27,999,2,failure,-0.1,92.766,-39.1,4.02,5176,no
48,unknown,single,university.degree,no,no,no,telephone,oct,mon,15,26,999,2,nonexistent,-0.1,93.717,-40.1,0.702,5099,no
40,management,single,basic.4y,no,unknown,no,cellular,sep,wed,249,18,999,1,nonexistent,1.4,94.079,-37.9,3.748,5191,no
59,retired,married,basic.4y,no,unknown,no,cellular,sep,wed,80,19,999,5,nonexistent,-0.1,93.277,-40.3,3.245,5099,no
27,student,single,university.degree,no,no,no,cellular,jul,fri,362,27,6,2,nonexistent,-0.1,94.349,-41.7,2.919,5176,no
49,admin.,married,high.school,no,unknown,no,cellular,apr,fri,25,5,999,1,nonexistent,1.4,94.776,-47.2,1.58,5099,yes
70,management,married,university.degree,no,yes,no,cellular,apr,tue,74,16,999,5,nonexistent,1.4,92.559,-38.0,4.255,4963,no
47,services,married,unknown,no,no,no,cellular,jul,fri,474,17,8,0,nonexistent,-0.1,92.1,-30.3,1.725,4963,no
56,management,married,high.school,no,yes,no,cellular,aug,wed,346,9,999,5,nonexistent,1.1,93.88,-47.5,2.77,5099,no
48,technician,married,university.degree,unknown,no,no,cellular,jul,mon,1207,10,999,3,failure,-1.8,93.807,-32.3,1.321,4963,no
19,retired,married,university.degree,unknown,no,no,cellular,nov,mon,258,19,999,4,nonexistent,1.1,93.024,-43.6,4.885,5176,no
29,retired,married,high.school,no,unknown,no,telephone,oct,wed,90,29,999,3,nonexistent,1.1,94.356,-40.9,1.48,5191,no
56,unemployed,married,university.degree,no,yes,no,cellular,apr,tue,198,12,999,4,nonexistent,-0.1,94.478,-26.3,4.14,5191,no
83,retired,married,unknown,no,unknown,no,cellular,apr,mon,720,1,999,0,nonexistent,1.1,92.996,-33.8,1.78,5176,no
30,retired,married,basic.4y,no,no,no,cellular,aug,mon,263,22,999,4,success,-1.8,94.047,-32.7,1.749,5228,no
63,unknown,single,unknown,no,yes,unknown,cellular,dec,tue,533,17,999,0,nonexistent,1.1,93.926,-35.5,2.473,5228,no
44,retired,married,university.degree,no,no,yes,cellular,sep,mon,5,3,999,5,failure,1.4,93.028,-42.3,4.326,5191,no
34,retired,married,basic.4y,no,unknown,yes,telephone,jul,thu,115,7,22,3,nonexistent,1.1,94.907,-33.8,3.635,4963,no
77,admin.,single,high.school,no,no,yes,telephone,dec,wed,684,20,999,1,nonexistent,-0.1,93.039,-39.0,4.439,4963,no
81,services,single,unknown,unknown,no,no,telephone,mar,mon,10,9,16,5,nonexistent,1.1,93.861,-30.0,0.836,5228,no
52,unemployed,single,high.school,no,unknown,no,cellular,dec,mon,183,23,999,6,failure,1.1,93.14,-36.3,4.806,5191,yes
87,unknown,married,basic.4y,no,no,no,cellular,oct,tue,106,5,999,5,nonexistent,1.4,92.035,-31.5,0.967,5099,no
47,retired,married,university.degree,no,yes,no,cellular,jan,mon,259,9,999,4,nonexistent,-0.1,92.275,-29.6,3.781,5099,no
80,unemployed,single,basic.4y,unknown,unknown,no,telephone,may,tue,44,19,999,6,nonexistent,-1.8,92.697,-30.3,1.535,4963,no
45,services,married,basic.4y,yes,no,no,telephone,jun,wed,264,11,26,6,failure,-0.1,94.437,-40.3,4.304,5176,no
77,unknown,married,high.school,no,unknown,unknown,cellular,nov,thu,1202,14,999,5,nonexistent,-0.1,93.326,-41.1,4.399,5228,no
54,student,married,unknown,no,no,no,cellular,sep,fri,79,14,999,2,nonexistent,1.1,93.766,-29.1,3.039,4963,no
39,retired,single,basic.4y,no,unknown,no,cellular,may,wed,154,8,999,1,nonexistent,-0.1,94.832,-46.6,2.391,5176,no
85,unemployed,married,university.degree,no,unknown,yes,cellular,jan,mon,7,24,999,1,nonexistent,-0.1,92.441,-43.3,4.097,5176,no
37,management,divorced,basic.4y,no,yes,no,telephone,nov,thu,142,20,999,0,nonexistent,-1.8,94.585,-47.1,4.45,5228,no
85,unknown,single,high.school,no,unknown,no,cellular,nov,fri,130,1,999,3,nonexistent,1.1,93.138,-49.0,3.856,5176,no
81,unknown,married,unknown,no,yes,unknown,cellular,apr,fri,207,4,1,2,nonexistent,-1.8,93.012,-35.2,4.593,5176,yes
34,unemployed,single,university.degree,no,unknown,no,telephone,feb,mon,74,16,999,3,nonexistent,-1.8,93.877,-28.4,3.368,5228,yes
29,retired,single,high.school,no,unknown,no,cellular,apr,fri,99,25,999,6,nonexistent,-0.1,94.696,-46.9,3.56,5191,no
39,technician,single,basic.4y,no,no,no,cellular,jul,fri,235,26,999,6,nonexistent,-1.8,93.046,-30.9,3.129,5099,no
34,admin.,married,basic.4y,no,no,no,cellular,sep,wed,597,1,999,3,nonexistent,1.4,94.284,-40.9,2.763,5191,no
27,management,single,unknown,unknown,no,yes,cellular,dec,wed,67,19,15,1,nonexistent,-1.8,92.058,-35.2,3.492,5099,no
82,management,married,high.school,no,unknown,no,cellular,mar,fri,282,24,999,2,nonexistent,-0.1,93.869,-31.7,3.082,5099,no
39,technician,divorced,high.school,unknown,unknown,unknown,cellular,mar,tue,185,3,999,4,nonexistent,-0.1,93.892,-33.0,3.826,5228,no
67,retired,married,unknown,no,yes,yes,telephone,nov,mon,27,2,999,6,nonexistent,1.1,93.668,-46.7,4.713,5191,no
31,unknown,married,university.degree,unknown,yes,no,telephone,apr,tue,208,17,999,2,nonexistent,-0.1,94.813,-47.2,2.26,5228,no
81,unknown,single,high.school,unknown,yes,no,cellular,jul,tue,308,25,999,0,nonexistent,-0.1,94.816,-27.8,2.427,5191,no
64,admin.,single,unknown,no,no,yes,telephone,jun,fri,227,11,999,5,failure,1.4,93.026,-48.1,0.696,5176,no
46,management,married,high.school,unknown,no,no,cellular,may,mon,27,26,23,1,nonexistent,-0.1,93.369,-44.8,2.933,4963,no
53,admin.,married,unknown,no,yes,no,telephone,apr,tue,481,3,999,2,nonexistent,1.1,94.377,-39.5,1.204,5191,no
69,management,married,basic.4y,no,unknown,no,cellular,dec,wed,10,7,999,0,nonexistent,-1.8,94.532,-30.3,3.759,5191,no
24,retired,divorced,basic.4y,no,no,no,cellular,aug,wed,67,10,999,4,nonexistent,-0.1,93.254,-35.5,4.037,5176,no
46,student,single,high.school,no,no,no,cellular,dec,mon,239,3,3,3,nonexistent,1.1,93.047,-36.3,3.788,5176,no
28,management,single,high.school,no,yes,no,cellular,apr,tue,61,29,999,3,success,-0.1,94.462,-33.4,3.019,5099,no
50,student,married,basic.4y,no,no,no,telephone,mar,thu,26,8,999,0,nonexistent,-1.8,93.131,-30.7,2.965,4963,no
23,management,married,university.degree,no,yes,no,cellular,jul,thu,179,25,999,1,nonexistent,-1.8,93.216,-44.4,3.455,4963,no
49,unknown,single,unknown,no,no,yes,cellular,feb,mon,320,28,999,3,nonexistent,-0.1,92.407,-49.5,3.054,4963,no
68,services,single,university.degree,no,unknown,no,cellular,apr,mon,132,24,999,1,nonexistent,-0.1,93.629,-46.9,3.909,5191,no
75,retired,married,university.degree,no,unknown,no,cellular,aug,thu,299,5,999,1,nonexistent,1.1,92.979,-46.0,4.539,5191,no
43,technician,single,university.degree,no,no,no,telephone,apr,tue,492,27,999,3,nonexistent,-1.8,93.772,-49.0,2.973,5228,no
63,student,married,basic.4y,unknown,yes,unknown,telephone,oct,tue,797,10,999,4,nonexistent,-0.1,93.345,-32.1,1.112,5099,no
46,technician,married,high.school,no,no,no,cellular,dec,fri,66,12,999,5,nonexistent,-0.1,94.244,-28.8,1.203,5176,no
21,retired,married,university.degree,no,yes,unknown,cellular,jul,mon,232,18,999,2,nonexistent,-0.1,92.833,-32.9,2.273,5176,no
30,unemployed,married,basic.4y,unknown,no,unknown,cellular,feb,tue,77,6,999,5,nonexistent,-0.1,92.516,-45.5,2.799,5176,no
56,technician,married,unknown,no,unknown,no,cellular,nov,thu,511,8,999,3,nonexistent,1.1,94.109,-35.4,1.613,5228,no
32,retired,married,high.school,no,unknown,no,cellular,may,thu,552,18,999,2,nonexistent,1.4,93.152,-37.5,2.609,5228,no
46,unknown,married,unknown,no,no,no,cellular,dec,wed,97,6,999,1,nonexistent,1.1,93.691,-30.3,1.223,5191,no
46,technician,single,university.degree,no,no,no,telephone,apr,tue,259,23,999,6,nonexistent,-1.8,94.823,-27.4,1.682,5228,no
49,student,married,high.school,unknown,no,yes,cellular,sep,fri,546,9,999,4,nonexistent,-1.8,93.452,-32.2,3.837,5228,no
19,services,married,university.degree,no,unknown,no,cellular,jul,fri,177,16,999,1,nonexistent,1.4,92.457,-37.7,4.937,5176,no
64,technician,married,high.school,no,unknown,yes,cellular,sep,mon,318,11,999,6,nonexistent,1.1,93.28,-37.7,1.444,5228,no
39,student,married,university.degree,no,yes,no,telephone,nov,wed,403,25,999,4,nonexistent,1.4,93.436,-30.6,2.112,5099,no
44,management,single,unknown,no,no,yes,cellular,oct,thu,513,2,999,6,nonexistent,1.4,94.298,-47.1,2.163,5228,no
84,retired,married,unknown,yes,no,unknown,cellular,jul,thu,181,17,999,5,nonexistent,-1.8,92.586,-46.3,1.606,4963,no
73,admin.,single,university.degree,unknown,unknown,no,cellular,feb,mon,711,13,999,5,nonexistent,1.1,93.041,-41.8,1.522,5228,no
38,unemployed,single,high.school,unknown,no,no,cellular,dec,fri,247,7,999,5,nonexistent,-0.1,92.15,-32.1,1.206,5191,no
64,unknown,married,unknown,no,yes,no,cellular,feb,fri,41,22,999,0,nonexistent,-0.1,94.106,-48.4,4.596,5099,no
76,admin.,married,high.school,no,no,no,telephone,feb,thu,236,10,999,5,nonexistent,1.4,94.232,-41.7,3.468,5228,no
23,unknown,married,high.school,no,unknown,no,telephone,may,mon,88,26,10,4,nonexistent,1.1,93.372,-42.4,1.899,5191,no
36,retired,married,unknown,no,no,no,telephone,jan,tue,116,13,999,4,success,-0.1,93.615,-38.3,1.758,5099,no
74,unknown,single,basic.4y,no,unknown,no,telephone,jul,wed,413,10,999,5,nonexistent,-0.1,94.249,-38.9,3.207,5228,no
86,services,married,basic.4y,no,yes,no,telephone,feb,fri,906,28,999,1,nonexistent,1.1,92.805,-32.9,3.677,5099,no
20,technician,married,high.school,unknown,yes,no,telephone,apr,fri,509,4,999,5,nonexistent,-0.1,93.821,-35.0,1.736,4963,no
18,services,married,unknown,no,no,no,cellular,sep,fri,98,27,999,5,nonexistent,-1.8,94.892,-28.3,2.147,5176,no
75,admin.,married,basic.4y,no,no,no,cellular,aug,tue,151,11,999,3,nonexistent,-0.1,93.974,-45.7,1.9,5228,no
55,unemployed,married,university.degree,no,unknown,no,cellular,oct,tue,1026,9,999,6,nonexistent,-1.8,92.234,-39.6,1.013,5099,no
32,student,married,high.school,no,yes,no,cellular,feb,wed,642,16,999,3,nonexistent,1.4,92.871,-40.4,2.319,5191,no
51,unemployed,married,basic.4y,no,yes,yes,cellular,apr,fri,942,17,999,6,nonexistent,1.1,93.557,-47.3,2.962,4963,no
78,retired,married,unknown,no,yes,no,cellular,apr,thu,141,23,999,2,nonexistent,-1.8,92.218,-46.0,3.494,5176,no
52,retired,single,unknown,no,yes,no,cellular,feb,fri,403,5,999,0,nonexistent,-0.1,94.03,-41.9,2.451,5191,no
81,services,single,high.school,no,no,no,cellular,feb,wed,512,5,999,4,nonexistent,-1.8,93.963,-32.4,4.927,4963,no
42,student,married,unknown,no,no,no,telephone,may,wed,11,6,999,2,nonexistent,-0.1,94.629,-46.4,3.365,5228,no
41,services,married,university.degree,no,unknown,no,cellular,nov,thu,77,2,999,5,nonexistent,-0.1,93.5,-43.6,4.504,5191,no
29,technician,divorced,university.degree,no,yes,no,cellular,apr,tue,537,27,999,4,nonexistent,-1.8,94.076,-33.8,4.633,5099,no
35,management,married,basic.4y,no,no,unknown,cellular,aug,thu,123,14,999,4,failure,-0.1,92.546,-35.7,4.22,4963,no
32,student,married,unknown,no,no,yes,cellular,apr,wed,81,11,999,0,nonexistent,-1.8,92.009,-47.5,1.81,4963,no
44,management,married,university.degree,unknown,yes,no,cellular,aug,thu,79,19,999,0,nonexistent,1.4,92.517,-27.4,2.515,5228,no
77,unemployed,single,high.school,no,no,no,telephone,may,fri,117,11,999,6,nonexistent,1.4,92.187,-46.4,0.632,4963,no
63,technician,married,unknown,no,unknown,no,cellular,jan,wed,69,25,999,2,nonexistent,1.4,93.283,-48.5,2.603,5176,no
34,unknown,divorced,basic.4y,unknown,unknown,no,telephone,sep,tue,0,20,999,3,nonexistent,1.4,93.405,-42.7,1.914,5099,no
70,unknown,single,high.school,no,yes,unknown,telephone,aug,tue,47,6,999,4,nonexistent,-0.1,93.933,-49.4,1.119,5228,no
25,management,single,high.school,no,unknown,no,cellular,jan,thu,535,13,999,1,nonexistent,1.1,92.422,-49.3,4.295,5176,no
44,admin.,single,high.school,no,no,no,telephone,dec,thu,19,29,999,2,nonexistent,1.1,92.644,-36.1,3.573,5228,no
63,unemployed,married,university.degree,no,unknown,no,cellular,mar,thu,133,19,999,4,nonexistent,-1.8,94.395,-28.6,4.996,5228,yes
67,management,married,high.school,unknown,no,no,telephone,mar,fri,152,3,999,6,nonexistent,1.4,93.73,-40.3,2.808,5099,no
20,technician,single,university.degree,no,yes,no,cellular,may,tue,376,25,999,0,nonexistent,1.4,92.088,-42.7,2.075,4963,yes
81,management,divorced,high.school,no,yes,unknown,telephone,jul,wed,72,16,20,5,failure,-1.8,94.545,-28.0,1.783,5228,no
61,retired,married,university.degree,no,no,no,cellular,jan,wed,92,9,999,0,nonexistent,1.1,93.889,-48.5,2.533,5191,no
70,services,divorced,unknown,no,no,no,telephone,jan,tue,3,29,999,0,nonexistent,1.1,92.56,-38.6,1.984,5099,yes
41,admin.,married,university.degree,no,unknown,no,cellular,oct,thu,582,3,999,0,nonexistent,1.4,92.756,-43.9,4.96,5099,no
77,retired,married,university.degree,no,no,no,cellular,jun,mon,289,19,999,5,nonexistent,1.4,93.661,-40.8,1.429,5191,yes
20,retired,married,unknown,no,yes,no,cellular,may,thu,76,15,23,3,nonexistent,1.1,93.682,-40.1,0.714,5099,no
37,technician,married,high.school,no,no,no,telephone,dec,tue,546,22,999,3,nonexistent,1.4,94.416,-36.9,1.198,5228,no
63,services,married,unknown,unknown,unknown,no,cellular,dec,fri,22,13,999,4,nonexistent,1.4,93.076,-39.1,4.526,5176,no
32,services,married,high.school,no,unknown,no,telephone,mar,thu,114,17,999,4,nonexistent,1.4,93.648,-26.3,3.662,4963,no
42,student,married,university.degree,no,no,no,telephone,mar,wed,207,21,14,2,nonexistent,1.1,93.748,-49.4,4.056,5176,yes
34,unemployed,married,high.school,no,unknown,no,cellular,apr,fri,176,25,999,0,nonexistent,1.4,93.676,-31.8,2.03,5099,yes
26,admin.,married,university.degree,unknown,unknown,yes,cellular,nov,tue,265,25,999,6,nonexistent,1.4,92.219,-48.8,3.351,5191,no
55,unemployed,divorced,high.school,no,yes,no,cellular,oct,mon,88,8,6,0,nonexistent,1.4,93.234,-39.7,3.724,5099,no
65,technician,married,university.degree,yes,no,no,telephone,feb,thu,354,22,12,5,nonexistent,-0.1,93.017,-45.2,2.056,5099,no
77,admin.,married,university.degree,no,yes,no,telephone,sep,fri,129,14,999,1,nonexistent,-1.8,94.978,-27.3,3.796,5099,no
80,student,married,basic.4y,unknown,yes,yes,cellular,dec,fri,33,9,999,1,nonexistent,-1.8,93.397,-32.7,3.382,4963,yes
19,management,married,high.school,no,unknown,no,cellular,apr,wed,337,3,999,0,nonexistent,1.4,93.306,-38.9,1.925,5099,no
28,retired,single,high.school,no,yes,no,telephone,oct,thu,607,29,23,1,nonexistent,1.1,93.451,-27.1,0.861,5099,no
81,admin.,married,basic.4y,no,no,no,cellular,mar,mon,113,9,999,1,nonexistent,-1.8,94.758,-32.7,1.669,5099,no
38,unemployed,single,university.degree,unknown,no,no,telephone,oct,fri,222,24,999,0,nonexistent,1.4,93.834,-27.2,3.337,5191,no
35,retired,married,university.degree,no,no,no,cellular,nov,wed,291,12,999,3,failure,1.4,93.167,-33.1,3.248,5228,no
81,technician,married,basic.4y,unknown,yes,no,telephone,jul,thu,445,15,999,3,nonexistent,-1.8,94.738,-48.1,2.848,5099,no
55,unemployed,married,basic.4y,unknown,no,no,cellular,sep,thu,55,17,999,6,nonexistent,-0.1,94.79,-35.2,1.729,5099,no
49,management,married,unknown,no,no,yes,cellular,dec,mon,210,9,999,4,nonexistent,-0.1,92.793,-26.5,2.573,5099,no
28,technician,married,university.degree,no,yes,no,cellular,feb,wed,337,24,999,3,nonexistent,-1.8,93.18,-44.9,1.259,4963,no
62,unknown,married,unknown,no,yes,unknown,cellular,jun,mon,55,8,10,0,failure,1.4,94.899,-31.0,3.525,5191,no
50,management,married,high.school,unknown,yes,no,cellular,may,fri,159,6,999,6,nonexistent,-0.1,93.623,-45.6,4.428,5176,no
58,management,married,unknown,no,yes,no,telephone,jan,tue,156,9,999,1,nonexistent,1.1,93.295,-39.1,2.656,5228,no
25,retired,divorced,basic.4y,unknown,unknown,no,cellular,nov,tue,457,15,999,0,nonexistent,-1.8,92.586,-48.0,1.561,5099,no
28,technician,married,basic.4y,no,yes,no,telephone,jul,mon,375,24,999,2,nonexistent,-0.1,93.153,-41.8,4.248,5176,no
68,technician,married,basic.4y,no,yes,no,cellular,jan,mon,65,18,999,6,nonexistent,-0.1,93.894,-31.4,1.998,5176,no
58,admin.,married,basic.4y,no,no,yes,telephone,oct,tue,66,22,999,1,nonexistent,-1.8,92.116,-48.9,3.226,4963,no
34,unemployed,married,unknown,no,no,no,cellular,sep,fri,321,28,999,0,nonexistent,1.4,92.25,-42.3,0.96,4963,no
63,unknown,married,unknown,unknown,yes,yes,cellular,apr,mon,336,11,9,6,nonexistent,-1.8,92.016,-34.9,3.767,5176,no
49,technician,single,unknown,no,yes,no,cellular,aug,fri,49,24,999,4,nonexistent,1.1,92.657,-27.2,2.643,5099,yes
71,admin.,divorced,basic.4y,no,yes,no,cellular,jan,fri,132,14,19,4,nonexistent,1.4,92.549,-44.1,2.48,5228,yes
37,unknown,married,basic.4y,no,no,yes,cellular,may,wed,436,13,999,1,nonexistent,-0.1,94.552,-45.8,4.715,5099,no
50,services,married,university.degree,no,no,yes,telephone,mar,fri,20,13,999,3,nonexistent,1.4,92.556,-45.1,2.778,5191,yes
57,services,married,university.degree,no,yes,no,cellular,apr,thu,117,22,999,4,nonexistent,-1.8,93.984,-44.3,0.703,5191,no
49,unknown,single,basic.4y,no,no,no,cellular,dec,tue,258,13,999,5,nonexistent,1.4,92.355,-34.7,4.824,5191,yes
19,services,married,university.degree,unknown,no,no,telephone,apr,tue,368,27,999,2,nonexistent,-0.1,93.781,-26.0,0.683,5099,yes
50,student,married,high.school,no,yes,no,cellular,aug,mon,264,25,999,5,nonexistent,-0.1,93.307,-37.4,2.972,4963,no
47,technician,married,high.school,no,no,no,telephone,oct,mon,126,16,999,5,nonexistent,-0.1,93.226,-43.5,3.399,5176,no
50,student,single,basic.4y,no,yes,no,telephone,oct,wed,1205,12,999,6,nonexistent,-0.1,94.57,-32.1,4.539,5176,yes
43,unemployed,married,unknown,no,unknown,no,telephone,mar,wed,10,21,999,5,nonexistent,-1.8,92.503,-46.2,3.598,5099,no
39,technician,married,high.school,no,unknown,yes,cellular,jan,thu,170,24,999,1,nonexistent,-1.8,93.786,-49.3,4.175,5099,no
83,admin.,single,high.school,no,unknown,no,cellular,may,mon,178,26,999,2,nonexistent,1.1,94.466,-35.5,3.995,5228,no
55,student,married,unknown,no,no,no,cellular,feb,tue,68,18,999,1,failure,-1.8,94.142,-45.0,1.563,5191,no
63,student,single,university.degree,no,unknown,no,cellular,nov,thu,204,12,999,3,nonexistent,-0.1,94.95,-40.4,3.691,5099,yes
32,unemployed,married,unknown,no,no,no,cellular,jun,mon,62,5,999,0,nonexistent,1.1,92.006,-44.5,3.416,5228,no
61,student,single,university.degree,no,yes,no,telephone,apr,thu,146,17,999,5,nonexistent,1.4,94.653,-28.0,1.696,5228,no
66,management,single,university.degree,unknown,unknown,yes,cellular,sep,fri,141,21,999,1,nonexistent,-1.8,93.84,-41.9,1.191,4963,no
78,admin.,married,unknown,no,no,no,cellular,jul,fri,370,23,999,0,nonexistent,-1.8,92.007,-39.2,3.915,5191,no
84,services,single,university.degree,no,unknown,yes,cellular,feb,thu,714,1,999,1,nonexistent,1.1,93.396,-44.4,4.874,5176,no
23,admin.,married,high.school,no,no,no,cellular,jul,mon,56,13,999,6,nonexistent,-1.8,94.302,-48.0,3.857,5099,no
